depth,alpha,beta,base_len,mean_val_filtered,mean_val_other,std_val_filtered,std_val_other,max_val_filtered,min_val_other
10,0,0.00001,100,0.0244398404,0.0003903621,0.0163524249,0.0001427121,0.0807614856,0.000162759
10,0,0.0001,100,0.0251397215,0.0003830458,0.0176340429,0.0001212477,0.1054643126,0.0001310733
10,0,0.001,100,0.0242612858,0.0003930391,0.0160434559,0.0001330203,0.0832156138,0.0001884226
10,0,0.01,100,0.0244087792,0.0003910763,0.015745704,0.0001172269,0.0777916331,0.0001655185
10,0,0.1,100,0.0248177749,0.0003728841,0.017108228,0.000117547,0.1054714516,0.0001745303
10,0,1,100,0.0246698409,0.0004114695,0.0170817517,0.0001362573,0.1054692794,0.0001217213
10,0,10,100,0.0254908152,0.0004085352,0.0179118558,0.0001097116,0.0883184632,0.0002199189
10,0.3,0.00001,200,0.0535155465,0,0.0309666372,0,0.0986219306,0
10,0.3,0.0001,200,0.0326902767,0,0.0182920473,0,0.0889133001,0
10,0.3,0.001,200,0.0158765909,0,0.0153033884,0,0.0855916164,0
10,0.3,0.01,100,0.0265522817,0.0009288197,0.0175625894,0.0001648968,0.0815643465,0.0006971123
10,0.3,0.1,100,0.0265054154,0.0003703706,0.0177792239,0.0002009523,0.0774516143,0.0001615436
10,0.3,1,100,0.0267048812,0.0002687687,0.017651506,0.0001192992,0.086169053,7.86435035000421E-005
10,0.3,10,100,0.0263778985,0.0002707165,0.017308251,0.0001548302,0.0863378454,7.58699481026834E-005
10,0.5,0.00001,200,0.1235180443,0,0.1015638306,0,0.250497654,0
10,0.5,0.0001,200,0.0686164693,0,0.0545485413,0,0.240035789,0
10,0.5,0.001,200,0.0224288888,0,0.0146633669,0,0.0939038616,0
10,0.5,0.01,100,0.0279929009,0.0021094284,0.018710878,0.0002859723,0.0880143392,0.0014642816
10,0.5,0.1,100,0.0275573459,0.000479472,0.0179875023,0.0002112015,0.09092637,0.0002477698
10,0.5,1,100,0.0279023145,0.0003333543,0.0188983276,0.0002340117,0.0881587738,8.77222340016864E-005
10,0.5,10,100,0.0279406682,0.0003230275,0.0185015405,0.0002281758,0.0903982858,7.4165764630713E-005
10,0.7,0.00001,200,0.2333676342,0,0.2116406366,0,0.4904100304,0
10,0.7,0.0001,200,0.1172319934,0,0.1105756194,0,0.4811740709,0
10,0.7,0.001,200,0.0313493947,0,0.0167652721,0,0.1028681132,0
10,0.7,0.01,199,0.0163259961,0.0031010628,0.0183960798,0,0.0977208457,0.0031010628
10,0.7,0.1,100,0.0288783945,0.0007156353,0.019882092,0.000117444,0.1053800003,0.0004155652
10,0.7,1,100,0.028904616,0.0004182715,0.0198645301,0.0001276761,0.1053128254,0.0001261285
10,0.7,10,100,0.0290394319,0.0003748298,0.0198964206,0.0001074111,0.0977422543,7.96994280876889E-005
10,1,0.00001,200,0.458981139,0,0.4461294408,0,1.0003748384,0
10,1,0.0001,200,0.2304525774,0,0.2388424039,0,0.9408301786,0
10,1,0.001,200,0.0483124141,0,0.03030189,0,0.2407029652,0
10,1,0.01,200,0.018479786,0,0.0186401686,0,0.1051262213,0
10,1,0.1,100,0.0297103774,0.0009018236,0.0210996402,6.89854887815794E-005,0.1052599405,0.0007759821
10,1,1,100,0.0297302247,0.0002375178,0.0210959845,6.72047672363404E-005,0.1051996734,0.0001522121
10,1,10,100,0.0297159718,0.0001714021,0.0210804274,6.72085452118368E-005,0.105156177,0.000090102
100,0,0.00001,100,0.0292362273,0.0003679891,0.0201965173,7.64241401729496E-005,0.1000948294,0.0001104115
100,0,0.0001,100,0.0292280262,0.0003634385,0.0202478058,8.32738433740385E-005,0.1007592811,0.00010501
100,0,0.001,100,0.0291947528,0.0003516524,0.0201993474,8.1420434242896E-005,0.0997558002,0.0001145147
100,0,0.01,100,0.0292414475,0.0003646204,0.0201936673,8.22830918924203E-005,0.0987783317,9.62253013626448E-005
100,0,0.1,100,0.0292315683,0.0003635039,0.0202749401,8.51876550456113E-005,0.0986612561,7.90057294188399E-005
100,0,1,100,0.0291398132,0.0003667532,0.0201283151,9.19471006094267E-005,0.101139603,7.48294352022722E-005
100,0,10,100,0.0292673167,0.0003555861,0.0203101957,8.48166987050746E-005,0.0988138752,6.98271351097174E-005
100,0.3,0.00001,199,0.0543849752,0,0.0312096844,0,0.1040893253,0.0003559331
100,0.3,0.0001,200,0.0332376577,0,0.0184102805,0,0.102364689,0
100,0.3,0.001,200,0.0178163877,0,0.0183987119,0,0.1026532108,0
100,0.3,0.01,100,0.0294528661,0.000872334,0.0205444728,7.9258219874254E-005,0.1006433993,0.000715914
100,0.3,0.1,100,0.0294883167,0.0002750457,0.0205994664,4.10789081397919E-005,0.099124733,0.0002131445
100,0.3,1,100,0.0295268965,0.0002116871,0.0206975292,3.58295960527163E-005,0.1053054891,0.0001380153
100,0.3,10,100,0.0295381705,0.0002022931,0.0207700313,3.53511863186483E-005,0.1051563373,0.00012984
100,0.5,0.00001,200,0.1210624687,0,0.0990430141,0,0.2501593658,0
100,0.5,0.0001,200,0.0661943687,0,0.0534467718,0,0.2489528791,0
100,0.5,0.001,200,0.0237531407,0,0.0162934562,0,0.10309806,0
100,0.5,0.01,100,0.0296335744,0.0019659623,0.0208857467,0.0002300842,0.102785475,0.0015384467
100,0.5,0.1,100,0.0296536893,0.0003236461,0.0209893125,2.7846628848719E-005,0.1052127834,0.0002725013
100,0.5,1,100,0.0295824069,0.0001592606,0.0207747618,2.12835905841959E-005,0.1026529016,0.0001232352
100,0.5,10,100,0.0295800611,0.0001429147,0.0207645794,2.50094588763485E-005,0.1028929937,9.62863415676268E-005
100,0.7,0.00001,200,0.2345511446,0,0.2128227637,0,0.4902175434,0
100,0.7,0.0001,200,0.1101585681,0,0.0993333739,0,0.4481122532,0
100,0.7,0.001,200,0.0312745606,0,0.0169734687,0,0.1050235109,0
100,0.7,0.01,188,0.0174932409,0.003043672,0.0200576961,8.90303244987484E-005,0.1050305078,0.0028866246
100,0.7,0.1,100,0.0296941587,0.0004738418,0.0210215922,3.73380511467496E-005,0.1037514533,0.0004041856
100,0.7,1,100,0.0296870772,0.0001510226,0.02100997,3.23233621505746E-005,0.10359331,0.0001059596
100,0.7,10,100,0.0296665331,0.0001197826,0.020992322,3.3367198142983E-005,0.1034015929,7.48962462759396E-005
100,1,0.00001,200,0.4232692848,0,0.4269450701,0,1.0003738247,0
100,1,0.0001,200,0.2325543916,0,0.2492046113,0,0.9898742767,0
100,1,0.001,200,0.0474610005,0,0.0268964698,0,0.1477456292,0
100,1,0.01,200,0.0184860209,0,0.0186353311,0,0.1051573163,0
100,1,0.1,100,0.0297058905,0.0008978115,0.0210822997,7.49594323572209E-005,0.1051607082,0.0007698434
100,1,1,100,0.0297143983,0.0002375774,0.0211057902,6.72880750772976E-005,0.1053982772,0.00015585
100,1,10,100,0.0297120501,0.0001714844,0.0210952743,6.73637724051279E-005,0.1052526499,8.90748623866339E-005
